State/Province,2000,2005,2010,2015,2020
Anhui,0,0,0,1488,2043
Beijing,0,0,136,50,0
Chongqing,0,0,49,246,528
Fujian,0,16,299,1176,2006
Gansu,0,0,1190,9950.5,1661
Guangdong,0,100,517.2,1562.1,2528
Guangxi,0,0,0,421,4112
Guizhou,0,0,0,2606,1914
Hainan,0,0,198,50,0
Hebei,0,0,2724,6853,9270.5
Heilongjiang,0,16,1896,3121,1091
Henan,0,0,49,945,9424
Hubei,0,0,44,1493,3016
Hunan,0,0,36,1524,5034
InnerMongolia,0,31,7521,14316,11684
Jiangsu,0,0,1013,2235,4440
Jiangxi,0,0,84,671,3299
Jilin,0,0,1911,2521,794
Liaoning,21,0,2211,4158,1820
Ningxia,0,0,468,6055,4871
Qinghai,0,0,0,470,6296
Shaanxi,0,0,0,1638,5094
Shandong,0,0,1246,6467,9107
Shanghai,0,0,15,355,0
Shanxi,0,0,373,5899,10776.4
Sichuan,0,0,0,828,3103
Tianjin,0,0,12,309,467
Tibet,0,0,0,49.5,0
Xinjiang,0,0,700,10905,9799
Yunnan,0,0,194,4637,3657
Zhejiang,0,0,138,844,338