technology,year,parameter,value_new
Alkaline electrolyzer large size,2020,FOM,6.4
Alkaline electrolyzer large size,2020,VOM,0.6142
Alkaline electrolyzer large size,2020,electricity-input,1.5
Alkaline electrolyzer large size,2020,investment,711.9042
Alkaline electrolyzer large size,2020,lifetime,40.0
Alkaline electrolyzer medium size,2020,FOM,18.1
Alkaline electrolyzer medium size,2020,VOM,0.2389
Alkaline electrolyzer medium size,2020,electricity-input,1.633
Alkaline electrolyzer medium size,2020,investment,566.0884
Alkaline electrolyzer medium size,2020,lifetime,20.0
Alkaline electrolyzer small size,2020,FOM,18.1
Alkaline electrolyzer small size,2020,VOM,1.0919
Alkaline electrolyzer small size,2020,electricity-input,1.62
Alkaline electrolyzer small size,2020,investment,984.8823
Alkaline electrolyzer small size,2020,lifetime,20.0
Ammonia cracker,2020,ammonia-input,1.46
BEV Bus city,2020,FOM,0.0001
BEV Bus city,2020,Motor size,300.0
BEV Bus city,2020,VOM,0.0952
BEV Bus city,2020,efficiency,0.97
BEV Bus city,2020,investment,409373.5872
BEV Bus city,2020,lifetime,12.0
BEV Coach,2020,FOM,0.0001
BEV Coach,2020,Motor size,250.0
BEV Coach,2020,VOM,0.0952
BEV Coach,2020,efficiency,0.9613
BEV Coach,2020,investment,489913.3908
BEV Coach,2020,lifetime,12.0
BEV Truck Semi-Trailer max 50 tons,2020,FOM,0.0002
BEV Truck Semi-Trailer max 50 tons,2020,Motor size,400.0
BEV Truck Semi-Trailer max 50 tons,2020,VOM,0.0952
BEV Truck Semi-Trailer max 50 tons,2020,efficiency,1.5362
BEV Truck Semi-Trailer max 50 tons,2020,investment,325191.1729
BEV Truck Semi-Trailer max 50 tons,2020,lifetime,10.5
BEV Truck Solo max 26 tons,2020,FOM,0.0002
BEV Truck Solo max 26 tons,2020,Motor size,330.0
BEV Truck Solo max 26 tons,2020,VOM,0.0952
BEV Truck Solo max 26 tons,2020,efficiency,0.9603
BEV Truck Solo max 26 tons,2020,investment,338623.152
BEV Truck Solo max 26 tons,2020,lifetime,13.8
BEV Truck Trailer max 56 tons,2020,FOM,0.0002
BEV Truck Trailer max 56 tons,2020,Motor size,490.0
BEV Truck Trailer max 56 tons,2020,VOM,0.0952
BEV Truck Trailer max 56 tons,2020,efficiency,1.6988
BEV Truck Trailer max 56 tons,2020,investment,360694.2014
BEV Truck Trailer max 56 tons,2020,lifetime,13.8
Battery electric (passenger cars),2020,FOM,0.9
Battery electric (passenger cars),2020,efficiency,0.68
Battery electric (passenger cars),2020,investment,33000.0
Battery electric (passenger cars),2020,lifetime,15.0
Battery electric (trucks),2020,FOM,14.0
Battery electric (trucks),2020,investment,204067.0
Battery electric (trucks),2020,lifetime,15.0
CH4 (g) pipeline,2020,electricity-input,0.01
CH4 (g) submarine pipeline,2020,electricity-input,0.01
CH4 liquefaction,2020,electricity-input,0.036
CH4 liquefaction,2020,methane-input,1.0
CO2 liquefaction,2020,carbondioxide-input,1.0
CO2 liquefaction,2020,electricity-input,0.123
CO2 liquefaction,2020,heat-input,0.0067
Charging infrastructure fast (purely) battery electric vehicles passenger cars,2020,FOM,1.6
Charging infrastructure fast (purely) battery electric vehicles passenger cars,2020,investment,629102.0
Charging infrastructure fast (purely) battery electric vehicles passenger cars,2020,lifetime,30.0
Charging infrastructure fuel cell vehicles passenger cars,2020,FOM,2.2
Charging infrastructure fuel cell vehicles passenger cars,2020,investment,2243051.0
Charging infrastructure fuel cell vehicles passenger cars,2020,lifetime,30.0
Charging infrastructure fuel cell vehicles trucks,2020,FOM,2.2
Charging infrastructure fuel cell vehicles trucks,2020,investment,2243051.0
Charging infrastructure fuel cell vehicles trucks,2020,lifetime,30.0
Charging infrastructure slow (purely) battery electric vehicles passenger cars,2020,FOM,1.8
Charging infrastructure slow (purely) battery electric vehicles passenger cars,2020,investment,1283.0
Charging infrastructure slow (purely) battery electric vehicles passenger cars,2020,lifetime,30.0
Compressed-Air-Adiabatic-bicharger,2020,FOM,0.9265
Compressed-Air-Adiabatic-bicharger,2020,efficiency,0.7211
Compressed-Air-Adiabatic-bicharger,2020,investment,946180.9426
Compressed-Air-Adiabatic-bicharger,2020,lifetime,60.0
Compressed-Air-Adiabatic-store,2020,FOM,0.43
Compressed-Air-Adiabatic-store,2020,investment,5448.7894
Compressed-Air-Adiabatic-store,2020,lifetime,60.0
Concrete-charger,2020,FOM,1.075
Concrete-charger,2020,efficiency,0.99
Concrete-charger,2020,investment,188018.4103
Concrete-charger,2020,lifetime,35.0
Concrete-discharger,2020,FOM,0.2688
Concrete-discharger,2020,efficiency,0.4343
Concrete-discharger,2020,investment,752073.6414
Concrete-discharger,2020,lifetime,35.0
Concrete-store,2020,FOM,0.3231
Concrete-store,2020,investment,29432.5788
Concrete-store,2020,lifetime,35.0
"Container feeder, ammonia",2020,efficiency,0.7754
"Container feeder, ammonia",2020,investment,41959454.4301
"Container feeder, ammonia",2020,lifetime,30.0
"Container feeder, diesel",2020,efficiency,0.7718
"Container feeder, diesel",2020,investment,34966212.0251
"Container feeder, diesel",2020,lifetime,30.0
"Container feeder, methanol",2020,efficiency,0.7711
"Container feeder, methanol",2020,investment,38462833.2276
"Container feeder, methanol",2020,lifetime,30.0
"Container, ammonia",2020,efficiency,1.7094
"Container, ammonia",2020,investment,143583536.7421
"Container, ammonia",2020,lifetime,30.0
"Container, diesel",2020,efficiency,1.6399
"Container, diesel",2020,investment,119652947.2851
"Container, diesel",2020,lifetime,30.0
"Container, methanol",2020,efficiency,1.7001
"Container, methanol",2020,investment,131618242.0136
"Container, methanol",2020,lifetime,30.0
Diesel Bus city,2020,FOM,0.0004
Diesel Bus city,2020,Motor size,250.0
Diesel Bus city,2020,VOM,0.1068
Diesel Bus city,2020,efficiency,2.4356
Diesel Bus city,2020,investment,150756.2732
Diesel Bus city,2020,lifetime,12.0
Diesel Coach,2020,FOM,0.0003
Diesel Coach,2020,Motor size,350.0
Diesel Coach,2020,VOM,0.1068
Diesel Coach,2020,efficiency,2.5466
Diesel Coach,2020,investment,231296.0768
Diesel Coach,2020,lifetime,12.0
Diesel Truck Semi-Trailer max 50 tons,2020,FOM,0.0005
Diesel Truck Semi-Trailer max 50 tons,2020,Motor size,380.0
Diesel Truck Semi-Trailer max 50 tons,2020,VOM,0.1068
Diesel Truck Semi-Trailer max 50 tons,2020,efficiency,3.5523
Diesel Truck Semi-Trailer max 50 tons,2020,investment,142012.114
Diesel Truck Semi-Trailer max 50 tons,2020,lifetime,10.5
Diesel Truck Solo max 26 tons,2020,FOM,0.0004
Diesel Truck Solo max 26 tons,2020,Motor size,220.0
Diesel Truck Solo max 26 tons,2020,VOM,0.1068
Diesel Truck Solo max 26 tons,2020,efficiency,2.4961
Diesel Truck Solo max 26 tons,2020,investment,155444.0931
Diesel Truck Solo max 26 tons,2020,lifetime,13.8
Diesel Truck Trailer max 56 tons,2020,FOM,0.0004
Diesel Truck Trailer max 56 tons,2020,Motor size,382.3529
Diesel Truck Trailer max 56 tons,2020,VOM,0.1068
Diesel Truck Trailer max 56 tons,2020,efficiency,3.625
Diesel Truck Trailer max 56 tons,2020,investment,177515.1425
Diesel Truck Trailer max 56 tons,2020,lifetime,13.8
FCV Bus city,2020,FOM,0.0001
FCV Bus city,2020,Motor size,364.0
FCV Bus city,2020,VOM,0.0979
FCV Bus city,2020,efficiency,1.7805
FCV Bus city,2020,investment,382675.3098
FCV Bus city,2020,lifetime,12.0
FCV Coach,2020,FOM,0.0001
FCV Coach,2020,Motor size,364.0
FCV Coach,2020,VOM,0.0952
FCV Coach,2020,efficiency,1.7747
FCV Coach,2020,investment,889942.5809
FCV Coach,2020,lifetime,12.0
FCV Truck Semi-Trailer max 50 tons,2020,FOM,0.0002
FCV Truck Semi-Trailer max 50 tons,2020,Motor size,475.0
FCV Truck Semi-Trailer max 50 tons,2020,VOM,0.0952
FCV Truck Semi-Trailer max 50 tons,2020,efficiency,2.7537
FCV Truck Semi-Trailer max 50 tons,2020,investment,348679.5032
FCV Truck Semi-Trailer max 50 tons,2020,lifetime,10.5
FCV Truck Solo max 26 tons,2020,FOM,0.0002
FCV Truck Solo max 26 tons,2020,Motor size,350.0
FCV Truck Solo max 26 tons,2020,VOM,0.0952
FCV Truck Solo max 26 tons,2020,efficiency,1.8629
FCV Truck Solo max 26 tons,2020,investment,293681.0517
FCV Truck Solo max 26 tons,2020,lifetime,13.8
FCV Truck Trailer max 56 tons,2020,FOM,0.0002
FCV Truck Trailer max 56 tons,2020,Motor size,350.0
FCV Truck Trailer max 56 tons,2020,VOM,0.0952
FCV Truck Trailer max 56 tons,2020,efficiency,3.0727
FCV Truck Trailer max 56 tons,2020,investment,315752.1011
FCV Truck Trailer max 56 tons,2020,lifetime,13.8
Fischer-Tropsch,2020,carbondioxide-input,0.36
Fischer-Tropsch,2020,efficiency-heat,0.25
Fischer-Tropsch,2020,electricity-input,0.008
Fischer-Tropsch,2020,hydrogen-input,1.531
Gravity-Brick-bicharger,2020,FOM,1.5
Gravity-Brick-bicharger,2020,efficiency,0.9274
Gravity-Brick-bicharger,2020,investment,415570.5177
Gravity-Brick-bicharger,2020,lifetime,41.7
Gravity-Brick-store,2020,investment,187325.7928
Gravity-Brick-store,2020,lifetime,41.7
Gravity-Water-Aboveground-bicharger,2020,FOM,1.5
Gravity-Water-Aboveground-bicharger,2020,efficiency,0.9014
Gravity-Water-Aboveground-bicharger,2020,investment,365630.713
Gravity-Water-Aboveground-bicharger,2020,lifetime,60.0
Gravity-Water-Aboveground-store,2020,investment,144713.4654
Gravity-Water-Aboveground-store,2020,lifetime,60.0
Gravity-Water-Underground-bicharger,2020,FOM,1.5
Gravity-Water-Underground-bicharger,2020,efficiency,0.9014
Gravity-Water-Underground-bicharger,2020,investment,905158.9602
Gravity-Water-Underground-bicharger,2020,lifetime,60.0
Gravity-Water-Underground-store,2020,investment,113887.5264
Gravity-Water-Underground-store,2020,lifetime,60.0
H2 (g) pipeline,2020,electricity-input,0.021
H2 (g) pipeline repurposed,2020,electricity-input,0.021
H2 (g) submarine pipeline,2020,electricity-input,0.021
H2 (g) submarine pipeline repurposed,2020,FOM,3.0
H2 (g) submarine pipeline repurposed,2020,electricity-input,0.021
H2 (g) submarine pipeline repurposed,2020,investment,160.1562
H2 (g) submarine pipeline repurposed,2020,lifetime,30.0
H2 liquefaction,2020,electricity-input,0.203
H2 liquefaction,2020,hydrogen-input,1.017
H2 production biomass gasification,2020,FOM,5.0
H2 production biomass gasification,2020,VOM,0.5118
H2 production biomass gasification,2020,electricity-input,0.097
H2 production biomass gasification,2020,investment,1467.9399
H2 production biomass gasification,2020,lifetime,20.0
H2 production biomass gasification,2020,wood-input,1.804
H2 production biomass gasification CC,2020,FOM,5.0
H2 production biomass gasification CC,2020,VOM,0.5232
H2 production biomass gasification CC,2020,electricity-input,0.143
H2 production biomass gasification CC,2020,investment,1489.0957
H2 production biomass gasification CC,2020,lifetime,20.0
H2 production biomass gasification CC,2020,wood-input,1.804
H2 production coal gasification,2020,FOM,5.9
H2 production coal gasification,2020,VOM,0.6677
H2 production coal gasification,2020,coal-input,1.77
H2 production coal gasification,2020,electricity-input,0.07
H2 production coal gasification,2020,investment,526.0516
H2 production coal gasification,2020,lifetime,20.0
H2 production coal gasification CC,2020,FOM,7.9
H2 production coal gasification CC,2020,VOM,0.2275
H2 production coal gasification CC,2020,coal-input,1.77
H2 production coal gasification CC,2020,electricity-input,0.111
H2 production coal gasification CC,2020,investment,591.9076
H2 production coal gasification CC,2020,lifetime,20.0
H2 production heavy oil partial oxidation,2020,FOM,5.0
H2 production heavy oil partial oxidation,2020,VOM,0.1592
H2 production heavy oil partial oxidation,2020,electricity-input,0.063
H2 production heavy oil partial oxidation,2020,investment,491.1331
H2 production heavy oil partial oxidation,2020,lifetime,25.0
H2 production heavy oil partial oxidation,2020,oil-input,1.3
H2 production natural gas steam reforming,2020,FOM,4.9
H2 production natural gas steam reforming,2020,VOM,0.3298
H2 production natural gas steam reforming,2020,electricity-input,0.02
H2 production natural gas steam reforming,2020,gas-input,1.32
H2 production natural gas steam reforming,2020,investment,228.8467
H2 production natural gas steam reforming,2020,lifetime,20.0
H2 production natural gas steam reforming CC,2020,FOM,5.2
H2 production natural gas steam reforming CC,2020,VOM,0.6028
H2 production natural gas steam reforming CC,2020,electricity-input,0.05
H2 production natural gas steam reforming CC,2020,gas-input,1.52
H2 production natural gas steam reforming CC,2020,investment,310.2851
H2 production natural gas steam reforming CC,2020,lifetime,20.0
H2 production solid biomass steam reforming,2020,FOM,4.0
H2 production solid biomass steam reforming,2020,VOM,0.7393
H2 production solid biomass steam reforming,2020,electricity-input,0.044
H2 production solid biomass steam reforming,2020,investment,590.6564
H2 production solid biomass steam reforming,2020,lifetime,20.0
H2 production solid biomass steam reforming,2020,wood-input,1.36
HVDC underground,2020,FOM,0.35
HVDC underground,2020,investment,1008.2934
HVDC underground,2020,lifetime,40.0
Haber-Bosch,2020,efficiency-heat,0.146
Haber-Bosch,2020,electricity-input,0.2473
Haber-Bosch,2020,hydrogen-input,1.1484
Haber-Bosch,2020,nitrogen-input,0.1597
HighT-Molten-Salt-charger,2020,FOM,1.075
HighT-Molten-Salt-charger,2020,efficiency,0.99
HighT-Molten-Salt-charger,2020,investment,187899.5061
HighT-Molten-Salt-charger,2020,lifetime,35.0
HighT-Molten-Salt-discharger,2020,FOM,0.2688
HighT-Molten-Salt-discharger,2020,efficiency,0.4444
HighT-Molten-Salt-discharger,2020,investment,751598.0242
HighT-Molten-Salt-discharger,2020,lifetime,35.0
HighT-Molten-Salt-store,2020,FOM,0.3308
HighT-Molten-Salt-store,2020,investment,112560.0095
HighT-Molten-Salt-store,2020,lifetime,35.0
Hydrogen fuel cell (passenger cars),2020,FOM,1.1
Hydrogen fuel cell (passenger cars),2020,efficiency,0.48
Hydrogen fuel cell (passenger cars),2020,investment,55000.0
Hydrogen fuel cell (passenger cars),2020,lifetime,15.0
Hydrogen fuel cell (trucks),2020,FOM,10.1
Hydrogen fuel cell (trucks),2020,efficiency,0.56
Hydrogen fuel cell (trucks),2020,investment,151574.0
Hydrogen fuel cell (trucks),2020,lifetime,15.0
Hydrogen-charger,2020,FOM,0.46
Hydrogen-charger,2020,efficiency,0.6963
Hydrogen-charger,2020,investment,1304350.411
Hydrogen-charger,2020,lifetime,30.0
Hydrogen-discharger,2020,FOM,0.4801
Hydrogen-discharger,2020,efficiency,0.4869
Hydrogen-discharger,2020,investment,1265835.3275
Hydrogen-discharger,2020,lifetime,30.0
Hydrogen-store,2020,FOM,0.43
Hydrogen-store,2020,investment,4779.9527
Hydrogen-store,2020,lifetime,30.0
LOHC hydrogenation,2020,electricity-input,0.004
LOHC hydrogenation,2020,hydrogen-input,1.867
LOHC hydrogenation,2020,lohc-input,0.944
Lead-Acid-bicharger,2020,FOM,2.4064
Lead-Acid-bicharger,2020,efficiency,0.8832
Lead-Acid-bicharger,2020,investment,149731.2267
Lead-Acid-bicharger,2020,lifetime,12.0
Lead-Acid-store,2020,FOM,0.2386
Lead-Acid-store,2020,investment,365289.854
Lead-Acid-store,2020,lifetime,12.0
