technology,year,parameter,value_new
Liquid fuels ICE (passenger cars),2020,FOM,1.6
Liquid fuels ICE (passenger cars),2020,efficiency,0.215
Liquid fuels ICE (passenger cars),2020,investment,23561.0
Liquid fuels ICE (passenger cars),2020,lifetime,15.0
Liquid fuels ICE (trucks),2020,FOM,18.0
Liquid fuels ICE (trucks),2020,efficiency,0.373
Liquid fuels ICE (trucks),2020,investment,99772.0
Liquid fuels ICE (trucks),2020,lifetime,15.0
Liquid-Air-charger,2020,FOM,0.366
Liquid-Air-charger,2020,efficiency,0.99
Liquid-Air-charger,2020,investment,503663.7386
Liquid-Air-charger,2020,lifetime,35.0
Liquid-Air-discharger,2020,FOM,0.5212
Liquid-Air-discharger,2020,efficiency,0.55
Liquid-Air-discharger,2020,investment,353636.242
Liquid-Air-discharger,2020,lifetime,35.0
Liquid-Air-store,2020,FOM,0.328
Liquid-Air-store,2020,investment,186749.107
Liquid-Air-store,2020,lifetime,35.0
Lithium-Ion-LFP-bicharger,2020,FOM,2.0701
Lithium-Ion-LFP-bicharger,2020,efficiency,0.9193
Lithium-Ion-LFP-bicharger,2020,investment,95584.1917
Lithium-Ion-LFP-bicharger,2020,lifetime,16.0
Lithium-Ion-LFP-store,2020,FOM,0.0447
Lithium-Ion-LFP-store,2020,investment,325690.7596
Lithium-Ion-LFP-store,2020,lifetime,16.0
Lithium-Ion-NMC-bicharger,2020,FOM,2.0701
Lithium-Ion-NMC-bicharger,2020,efficiency,0.9193
Lithium-Ion-NMC-bicharger,2020,investment,95584.1917
Lithium-Ion-NMC-bicharger,2020,lifetime,13.0
Lithium-Ion-NMC-store,2020,FOM,0.0379
Lithium-Ion-NMC-store,2020,investment,372111.988
Lithium-Ion-NMC-store,2020,lifetime,13.0
LowT-Molten-Salt-charger,2020,FOM,1.075
LowT-Molten-Salt-charger,2020,efficiency,0.99
LowT-Molten-Salt-charger,2020,investment,149374.5139
LowT-Molten-Salt-charger,2020,lifetime,35.0
LowT-Molten-Salt-discharger,2020,FOM,0.2688
LowT-Molten-Salt-discharger,2020,efficiency,0.5394
LowT-Molten-Salt-discharger,2020,investment,597498.0554
LowT-Molten-Salt-discharger,2020,lifetime,35.0
LowT-Molten-Salt-store,2020,FOM,0.3308
LowT-Molten-Salt-store,2020,investment,69421.8279
LowT-Molten-Salt-store,2020,lifetime,35.0
Methanol steam reforming,2020,methanol-input,1.201
Ni-Zn-bicharger,2020,FOM,2.0701
Ni-Zn-bicharger,2020,efficiency,0.9
Ni-Zn-bicharger,2020,investment,95584.1917
Ni-Zn-bicharger,2020,lifetime,15.0
Ni-Zn-store,2020,FOM,0.2238
Ni-Zn-store,2020,investment,344828.4062
Ni-Zn-store,2020,lifetime,15.0
PEM electrolyzer small size,2020,FOM,3.0
PEM electrolyzer small size,2020,electricity-input,1.43
PEM electrolyzer small size,2020,investment,1364.8906
PEM electrolyzer small size,2020,lifetime,6.0
Pumped-Heat-charger,2020,FOM,0.366
Pumped-Heat-charger,2020,efficiency,0.99
Pumped-Heat-charger,2020,investment,807189.2511
Pumped-Heat-charger,2020,lifetime,33.0
Pumped-Heat-discharger,2020,FOM,0.5212
Pumped-Heat-discharger,2020,efficiency,0.63
Pumped-Heat-discharger,2020,investment,566749.8997
Pumped-Heat-discharger,2020,lifetime,33.0
Pumped-Heat-store,2020,FOM,0.0615
Pumped-Heat-store,2020,investment,31293.8274
Pumped-Heat-store,2020,lifetime,33.0
Pumped-Storage-Hydro-bicharger,2020,FOM,0.9951
Pumped-Storage-Hydro-bicharger,2020,efficiency,0.8944
Pumped-Storage-Hydro-bicharger,2020,investment,1397128.4612
Pumped-Storage-Hydro-bicharger,2020,lifetime,60.0
Pumped-Storage-Hydro-store,2020,FOM,0.43
Pumped-Storage-Hydro-store,2020,investment,57074.0625
Pumped-Storage-Hydro-store,2020,lifetime,60.0
SOEC,2020,FOM,4.0
SOEC,2020,electricity-input,1.22
SOEC,2020,investment,2359.2378
SOEC,2020,lifetime,30.0
Sand-charger,2020,FOM,1.075
Sand-charger,2020,efficiency,0.99
Sand-charger,2020,investment,152624.5646
Sand-charger,2020,lifetime,35.0
Sand-discharger,2020,FOM,0.2688
Sand-discharger,2020,efficiency,0.53
Sand-discharger,2020,investment,610498.2585
Sand-discharger,2020,lifetime,35.0
Sand-store,2020,FOM,0.3308
Sand-store,2020,investment,8014.7441
Sand-store,2020,lifetime,35.0
Steam methane reforming,2020,methane-input,1.483
"Tank&bulk, diesel",2020,efficiency,0.462
"Tank&bulk, diesel",2020,investment,35129312.4041
"Tank&bulk, diesel",2020,lifetime,25.0
"Tank&bulk, methanol",2020,efficiency,0.4695
"Tank&bulk, methanol",2020,investment,38642243.6445
"Tank&bulk, methanol",2020,lifetime,25.0
"Tankbulk, ammonia",2020,efficiency,0.471
"Tankbulk, ammonia",2020,investment,42155174.885
"Tankbulk, ammonia",2020,lifetime,25.0
Vanadium-Redox-Flow-bicharger,2020,FOM,2.4028
Vanadium-Redox-Flow-bicharger,2020,efficiency,0.8062
Vanadium-Redox-Flow-bicharger,2020,investment,149950.2088
Vanadium-Redox-Flow-bicharger,2020,lifetime,12.0
Vanadium-Redox-Flow-store,2020,FOM,0.2335
Vanadium-Redox-Flow-store,2020,investment,317614.1853
Vanadium-Redox-Flow-store,2020,lifetime,12.0
Zn-Air-bicharger,2020,FOM,2.4395
Zn-Air-bicharger,2020,efficiency,0.7937
Zn-Air-bicharger,2020,investment,129023.0526
Zn-Air-bicharger,2020,lifetime,25.0
Zn-Air-store,2020,FOM,0.1893
Zn-Air-store,2020,investment,194899.0057
Zn-Air-store,2020,lifetime,25.0
Zn-Br-Flow-bicharger,2020,FOM,2.475
Zn-Br-Flow-bicharger,2020,efficiency,0.8307
Zn-Br-Flow-bicharger,2020,investment,134297.449
Zn-Br-Flow-bicharger,2020,lifetime,10.0
Zn-Br-Flow-store,2020,FOM,0.2849
Zn-Br-Flow-store,2020,investment,476623.9107
Zn-Br-Flow-store,2020,lifetime,10.0
Zn-Br-Nonflow-bicharger,2020,FOM,2.4395
Zn-Br-Nonflow-bicharger,2020,efficiency,0.8888
Zn-Br-Nonflow-bicharger,2020,investment,129023.0526
Zn-Br-Nonflow-bicharger,2020,lifetime,15.0
Zn-Br-Nonflow-store,2020,FOM,0.2481
Zn-Br-Nonflow-store,2020,investment,276873.6097
Zn-Br-Nonflow-store,2020,lifetime,15.0
air separation unit,2020,electricity-input,0.25
allam,2020,VOM,2.0
allam,2020,efficiency,0.6
allam,2020,investment,1500.0
allam,2020,lifetime,30.0
ammonia carbon capture retrofit,2020,FOM,5.0
ammonia carbon capture retrofit,2020,capture_rate,0.99
ammonia carbon capture retrofit,2020,electricity-input,0.1
ammonia carbon capture retrofit,2020,investment,929753.03
ammonia carbon capture retrofit,2020,lifetime,20.0
biochar pyrolysis,2020,FOM,3.4615
biochar pyrolysis,2020,VOM,823.497
biochar pyrolysis,2020,efficiency-biochar,0.404
biochar pyrolysis,2020,efficiency-heat,0.4848
biochar pyrolysis,2020,investment,167272.82
biochar pyrolysis,2020,lifetime,25.0
biochar pyrolysis,2020,yield-biochar,0.0582
biodiesel crops,2020,fuel,96.2077
bioethanol crops,2020,CO2 intensity,0.1289
bioethanol crops,2020,fuel,62.1519
biogas manure,2020,fuel,19.7575
biogas plus hydrogen,2020,VOM,4.5939
biomass-to-methanol,2020,C in fuel,0.3926
biomass-to-methanol,2020,C stored,0.6074
biomass-to-methanol,2020,CO2 stored,0.2227
biomass-to-methanol,2020,FOM,1.1111
biomass-to-methanol,2020,VOM,21.6979
biomass-to-methanol,2020,capture rate,0.9
biomass-to-methanol,2020,efficiency,0.58
biomass-to-methanol,2020,efficiency-electricity,0.02
biomass-to-methanol,2020,efficiency-heat,0.22
biomass-to-methanol,2020,investment,5591.3924
biomass-to-methanol,2020,lifetime,20.0
blast furnace-basic oxygen furnace,2020,FOM,14.18
blast furnace-basic oxygen furnace,2020,coal-input,5.34
blast furnace-basic oxygen furnace,2020,economic_lifetime,20.0
blast furnace-basic oxygen furnace,2020,investment,7637406.0
blast furnace-basic oxygen furnace,2020,lifetime,40.0
blast furnace-basic oxygen furnace,2020,ore-input,1.539
blast furnace-basic oxygen furnace,2020,scrap-input,0.051
cement carbon capture retrofit,2020,FOM,7.0
cement carbon capture retrofit,2020,capture_rate,0.9
cement carbon capture retrofit,2020,electricity-input,0.16
cement carbon capture retrofit,2020,gas-input,0.76
cement carbon capture retrofit,2020,investment,2587727.173
cement carbon capture retrofit,2020,lifetime,20.0
cement dry clinker,2020,FOM,4.0
cement dry clinker,2020,VOM,5.2911
cement dry clinker,2020,electricity-input,0.0694
cement dry clinker,2020,gas-input,0.0002
cement dry clinker,2020,heat-input,0.9444
cement dry clinker,2020,investment,1158752.6816
cement dry clinker,2020,lifetime,30.0
cement finishing,2020,FOM,30.0
cement finishing,2020,VOM,3.1747
cement finishing,2020,clinker-input,0.656
cement finishing,2020,electricity-input,0.1736
cement finishing,2020,investment,92700.2145
cement finishing,2020,lifetime,25.0
cement finishing,2020,slag-input,0.194
central excess-heat-sourced heat pump,2020,FOM,0.3003
central excess-heat-sourced heat pump,2020,VOM,1.7884
central excess-heat-sourced heat pump,2020,efficiency,5.1
central excess-heat-sourced heat pump,2020,investment,704.7435
central excess-heat-sourced heat pump,2020,lifetime,25.0
central geothermal heat source,2020,FOM,0.8406
central geothermal heat source,2020,VOM,4.8547
central geothermal heat source,2020,investment,3008.7285
central geothermal heat source,2020,lifetime,25.0
central water pit charger,2020,efficiency,1.0
central water pit discharger,2020,efficiency,1.0
central water pit storage,2020,Bottom storage temperature,35.0
central water pit storage,2020,FOM,0.2354
central water pit storage,2020,Top storage temperature,90.0
central water pit storage,2020,energy to power ratio,150.0
central water pit storage,2020,investment,1.0622
central water pit storage,2020,lifetime,20.0
central water pit storage,2020,standing losses,0.0078
central water tank charger,2020,efficiency,1.0
central water tank discharger,2020,efficiency,1.0
central water tank storage,2020,energy to power ratio,60.3448
central water tank storage,2020,standing losses,0.0077
central water tank storage,2020,temperature difference,55.0
decentral water tank charger,2020,efficiency,1.0
decentral water tank discharger,2020,efficiency,1.0
decentral water tank storage,2020,VOM,0.7168
decentral water tank storage,2020,energy to power ratio,0.15
decentral water tank storage,2020,standing losses,2.1
decentral water tank storage,2020,temperature difference,30.0
dry bulk carrier Capesize,2020,FOM,4.0
dry bulk carrier Capesize,2020,capacity,180000.0
dry bulk carrier Capesize,2020,investment,40000000.0
dry bulk carrier Capesize,2020,lifetime,25.0
electric arc furnace,2020,FOM,30.0
electric arc furnace,2020,economic_lifetime,20.0
electric arc furnace,2020,electricity-input,0.6395
electric arc furnace,2020,hbi-input,1.0
electric arc furnace,2020,investment,1839600.0
electric arc furnace,2020,lifetime,40.0
electric arc furnace with hbi and scrap,2020,FOM,30.0
electric arc furnace with hbi and scrap,2020,economic_lifetime,20.0
electric arc furnace with hbi and scrap,2020,electricity-input,0.6395
electric arc furnace with hbi and scrap,2020,hbi-input,0.37
electric arc furnace with hbi and scrap,2020,investment,1839600.0
electric arc furnace with hbi and scrap,2020,lifetime,40.0
electric arc furnace with hbi and scrap,2020,scrap-input,0.71
electric steam cracker,2020,FOM,3.0
electric steam cracker,2020,VOM,190.4799
electric steam cracker,2020,carbondioxide-output,0.55
electric steam cracker,2020,electricity-input,2.7
electric steam cracker,2020,investment,11124025.7434
electric steam cracker,2020,lifetime,30.0
electric steam cracker,2020,naphtha-input,14.8
electrolysis small,2020,FOM,4.0
electrolysis small,2020,efficiency,0.5773
electrolysis small,2020,efficiency-heat,0.2762
electrolysis small,2020,investment,1900.0
electrolysis small,2020,lifetime,25.0
ethanol carbon capture retrofit,2020,FOM,7.0
ethanol carbon capture retrofit,2020,capture_rate,0.94
ethanol carbon capture retrofit,2020,electricity-input,0.12
ethanol carbon capture retrofit,2020,investment,928559.735
ethanol carbon capture retrofit,2020,lifetime,20.0
ethanol from starch crop,2020,FOM,13.8
ethanol from starch crop,2020,VOM,26.3497
ethanol from starch crop,2020,efficiency,0.58
ethanol from starch crop,2020,investment,716511.2815
ethanol from starch crop,2020,lifetime,20.0
ethanol from sugar crops,2020,FOM,16.43
ethanol from sugar crops,2020,VOM,23.1751
ethanol from sugar crops,2020,efficiency,0.45
ethanol from sugar crops,2020,investment,530264.2751
ethanol from sugar crops,2020,lifetime,20.0
fuelwood,2020,fuel,15.9997
geothermal,2020,district heat surcharge,25.0
geothermal,2020,district heat-input,0.8
hydrogen direct iron reduction furnace,2020,FOM,11.3
hydrogen direct iron reduction furnace,2020,economic_lifetime,20.0
hydrogen direct iron reduction furnace,2020,electricity-input,1.03
hydrogen direct iron reduction furnace,2020,hydrogen-input,2.1
hydrogen direct iron reduction furnace,2020,investment,4277858.0
hydrogen direct iron reduction furnace,2020,lifetime,40.0
hydrogen direct iron reduction furnace,2020,ore-input,1.59
iron ore DRI-ready,2020,commodity,97.73
iron-air battery,2020,FOM,1.0219
iron-air battery,2020,investment,25.1342
iron-air battery,2020,lifetime,17.5
iron-air battery charge,2020,efficiency,0.7
iron-air battery discharge,2020,efficiency,0.59
methanation,2020,carbondioxide-input,0.198
methanation,2020,hydrogen-input,1.282
methanol,2020,CO2 intensity,0.2482
methanol-to-kerosene,2020,FOM,4.5
methanol-to-kerosene,2020,VOM,1.35
methanol-to-kerosene,2020,hydrogen-input,0.0279
methanol-to-kerosene,2020,investment,307000.0
methanol-to-kerosene,2020,lifetime,30.0
methanol-to-kerosene,2020,methanol-input,1.0764
methanol-to-olefins/aromatics,2020,FOM,3.0
methanol-to-olefins/aromatics,2020,VOM,31.7466
methanol-to-olefins/aromatics,2020,carbondioxide-output,0.6107
methanol-to-olefins/aromatics,2020,electricity-input,1.3889
methanol-to-olefins/aromatics,2020,investment,2781006.4359
methanol-to-olefins/aromatics,2020,lifetime,30.0
methanol-to-olefins/aromatics,2020,methanol-input,18.03
methanolisation,2020,carbondioxide-input,0.248
methanolisation,2020,electricity-input,0.271
methanolisation,2020,heat-output,0.1
methanolisation,2020,hydrogen-input,1.138
natural gas direct iron reduction furnace,2020,FOM,11.3
natural gas direct iron reduction furnace,2020,economic_lifetime,20.0
natural gas direct iron reduction furnace,2020,gas-input,2.78
natural gas direct iron reduction furnace,2020,investment,4277858.0
natural gas direct iron reduction furnace,2020,lifetime,40.0
natural gas direct iron reduction furnace,2020,ore-input,1.59
offwind-float,2020,FOM,1.15
offwind-float,2020,investment,2350.0
offwind-float,2020,lifetime,20.0
offwind-float-connection-submarine,2020,investment,2118.5597
offwind-float-connection-underground,2020,investment,1039.4778
offwind-float-station,2020,investment,415.7911
organic rankine cycle,2020,FOM,2.0
organic rankine cycle,2020,electricity-input,0.12
organic rankine cycle,2020,investment,1376.0
organic rankine cycle,2020,lifetime,30.0
seawater RO desalination,2020,electricity-input,0.003
shipping fuel methanol,2020,CO2 intensity,0.2482
shipping fuel methanol,2020,fuel,72.0
solar-utility single-axis tracking,2020,FOM,1.8605
solar-utility single-axis tracking,2020,investment,650.3522
solar-utility single-axis tracking,2020,lifetime,35.0
steel carbon capture retrofit,2020,FOM,5.0
steel carbon capture retrofit,2020,capture_rate,0.9
steel carbon capture retrofit,2020,electricity-input,0.16
steel carbon capture retrofit,2020,gas-input,0.76
steel carbon capture retrofit,2020,investment,3561435.753
steel carbon capture retrofit,2020,lifetime,20.0
